"Travel motives","Population","Travel modes","Margins","Region characteristics","Periods","Average per person per day Trips (number)","Distance travelled (passenger kilometres )","Average per person per year Trips (number)","Distance travelled (passenger kilometres )"
"Total","Population 6 years or older","Total","Value","The Netherlands","2018","2.78","36.16","1,015","13,200"
"Total","Population 6 years or older","Total","Value","The Netherlands","2019","2.71","36.00","989","13,140"
"Total","Population 6 years or older","Total","Value","The Netherlands","2020","2.35","24.88","861","9,105"
"Total","Population 6 years or older","Total","Value","The Netherlands","2021","2.51","27.24","915","9,942"
"Total","Population 6 years or older","Total","Value","The Netherlands","2022","2.70","30.21","984","11,027"
"Total","Population 6 years or older","Total","Value","The Netherlands","2023","2.72","31.97","992","11,669"
"Total","Population 6 years or older","Total","Value","Utrecht (PV)","2018","2.89","37.88","1,056","13,825"
"Total","Population 6 years or older","Total","Value","Utrecht (PV)","2019","2.81","40.15","1,026","14,656"
"Total","Population 6 years or older","Total","Value","Utrecht (PV)","2020","2.43","26.57","888","9,726"
"Total","Population 6 years or older","Total","Value","Utrecht (PV)","2021","2.57","28.40","937","10,366"
"Total","Population 6 years or older","Total","Value","Utrecht (PV)","2022","2.80","31.74","1,021","11,585"
"Total","Population 6 years or older","Total","Value","Utrecht (PV)","2023","2.82","34.64","1,029","12,645"
"Total","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2018","0.96","18.16","350","6,628"
"Total","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2019","0.95","18.02","346","6,578"
"Total","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2020","0.81","13.14","295","4,811"
"Total","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2021","0.82","14.05","300","5,129"
"Total","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2022","0.87","15.13","317","5,524"
"Total","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2023","0.91","16.12","333","5,883"
"Total","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2018","0.91","18.71","331","6,829"
"Total","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2019","0.89","19.88","324","7,256"
"Total","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2020","0.73","13.71","268","5,017"
"Total","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2021","0.76","14.16","277","5,168"
"Total","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2022","0.82","15.31","298","5,588"
"Total","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2023","0.83","16.38","303","5,979"
"Total","Population 6 years or older","Train","Value","The Netherlands","2018","0.08","3.88","29","1,417"
"Total","Population 6 years or older","Train","Value","The Netherlands","2019","0.08","4.08","30","1,488"
"Total","Population 6 years or older","Train","Value","The Netherlands","2020","0.03","1.60","12","586"
"Total","Population 6 years or older","Train","Value","The Netherlands","2021","0.03","1.67","13","610"
"Total","Population 6 years or older","Train","Value","The Netherlands","2022","0.05","2.62","19","955"
"Total","Population 6 years or older","Train","Value","The Netherlands","2023","0.07","3.26","24","1,190"
"Total","Population 6 years or older","Train","Value","Utrecht (PV)","2018","0.11","4.81","42","1,756"
"Total","Population 6 years or older","Train","Value","Utrecht (PV)","2019","0.13","5.79","47","2,112"
"Total","Population 6 years or older","Train","Value","Utrecht (PV)","2020","0.05","2.31","19","845"
"Total","Population 6 years or older","Train","Value","Utrecht (PV)","2021","0.05","2.27","19","830"
"Total","Population 6 years or older","Train","Value","Utrecht (PV)","2022","0.08","3.37","28","1,229"
"Total","Population 6 years or older","Train","Value","Utrecht (PV)","2023","0.11","4.78","40","1,744"
"Total","Population 6 years or older","Bike","Value","The Netherlands","2018","0.79","3.16","289","1,155"
"Total","Population 6 years or older","Bike","Value","The Netherlands","2019","0.76","3.01","276","1,098"
"Total","Population 6 years or older","Bike","Value","The Netherlands","2020","0.63","2.61","229","955"
"Total","Population 6 years or older","Bike","Value","The Netherlands","2021","0.64","2.68","232","979"
"Total","Population 6 years or older","Bike","Value","The Netherlands","2022","0.75","3.04","274","1,108"
"Total","Population 6 years or older","Bike","Value","The Netherlands","2023","0.73","2.92","266","1,065"
"Total","Population 6 years or older","Bike","Value","Utrecht (PV)","2018","0.94","3.72","344","1,358"
"Total","Population 6 years or older","Bike","Value","Utrecht (PV)","2019","0.91","3.40","334","1,242"
"Total","Population 6 years or older","Bike","Value","Utrecht (PV)","2020","0.73","2.83","269","1,036"
"Total","Population 6 years or older","Bike","Value","Utrecht (PV)","2021","0.74","3.02","271","1,101"
"Total","Population 6 years or older","Bike","Value","Utrecht (PV)","2022","0.90","3.39","329","1,237"
"Total","Population 6 years or older","Bike","Value","Utrecht (PV)","2023","0.90","3.48","327","1,272"
"Total","Population 6 years or older","Walking","Value","The Netherlands","2018","0.44","0.90","162","328"
"Total","Population 6 years or older","Walking","Value","The Netherlands","2019","0.43","0.88","155","322"
"Total","Population 6 years or older","Walking","Value","The Netherlands","2020","0.52","1.12","191","411"
"Total","Population 6 years or older","Walking","Value","The Netherlands","2021","0.61","1.38","224","505"
"Total","Population 6 years or older","Walking","Value","The Netherlands","2022","0.58","1.21","213","441"
"Total","Population 6 years or older","Walking","Value","The Netherlands","2023","0.56","1.14","203","417"
"Total","Population 6 years or older","Walking","Value","Utrecht (PV)","2018","0.46","0.88","169","322"
"Total","Population 6 years or older","Walking","Value","Utrecht (PV)","2019","0.42","0.80","155","292"
"Total","Population 6 years or older","Walking","Value","Utrecht (PV)","2020","0.57","1.13","210","415"
"Total","Population 6 years or older","Walking","Value","Utrecht (PV)","2021","0.65","1.41","236","514"
"Total","Population 6 years or older","Walking","Value","Utrecht (PV)","2022","0.61","1.21","222","441"
"Total","Population 6 years or older","Walking","Value","Utrecht (PV)","2023","0.57","1.10","206","403"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Total","Value","The Netherlands","2018","0.55","10.55","200","3,852"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Total","Value","The Netherlands","2019","0.50","9.72","184","3,549"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Total","Value","The Netherlands","2020","0.37","6.16","135","2,254"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Total","Value","The Netherlands","2021","0.37","6.13","135","2,237"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Total","Value","The Netherlands","2022","0.42","7.40","153","2,699"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Total","Value","The Netherlands","2023","0.44","7.98","159","2,912"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Total","Value","Utrecht (PV)","2018","0.57","11.01","208","4,018"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Total","Value","Utrecht (PV)","2019","0.51","11.38","187","4,153"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Total","Value","Utrecht (PV)","2020","0.35","6.52","127","2,385"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Total","Value","Utrecht (PV)","2021","0.35","6.44","127","2,350"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Total","Value","Utrecht (PV)","2022","0.39","7.35","142","2,683"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Total","Value","Utrecht (PV)","2023","0.42","8.25","152","3,013"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2018","0.27","6.79","99","2,477"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2019","0.25","6.20","90","2,263"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2020","0.19","4.37","70","1,601"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2021","0.19","4.33","69","1,580"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2022","0.21","4.90","75","1,790"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","The Netherlands","2023","0.21","5.24","78","1,913"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2018","0.25","6.66","92","2,431"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2019","0.24","7.18","88","2,622"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2020","0.17","4.49","63","1,644"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2021","0.17","4.35","62","1,587"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2022","0.18","4.59","66","1,675"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Passenger car (driver)","Value","Utrecht (PV)","2023","0.19","5.12","69","1,867"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","The Netherlands","2018","0.03","1.33","12","485"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","The Netherlands","2019","0.03","1.35","12","491"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","The Netherlands","2020","0.01","0.50","5","182"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","The Netherlands","2021","0.01","0.36","4","133"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","The Netherlands","2022","0.02","0.71","6","261"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","The Netherlands","2023","0.02","1.04","9","379"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","Utrecht (PV)","2018","0.05","1.93","19","704"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","Utrecht (PV)","2019","0.06","2.26","21","826"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","Utrecht (PV)","2020","0.02","0.75","8","274"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","Utrecht (PV)","2021","0.02","0.66","7","239"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","Utrecht (PV)","2022","0.03","1.11","10","406"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Train","Value","Utrecht (PV)","2023","0.04","1.49","14","543"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","The Netherlands","2018","0.14","0.68","52","247"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","The Netherlands","2019","0.13","0.65","49","237"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","The Netherlands","2020","0.10","0.44","36","160"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","The Netherlands","2021","0.10","0.45","37","163"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","The Netherlands","2022","0.12","0.55","43","202"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","The Netherlands","2023","0.12","0.57","44","208"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","Utrecht (PV)","2018","0.17","0.91","63","332"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","Utrecht (PV)","2019","0.15","0.81","53","295"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","Utrecht (PV)","2020","0.10","0.48","38","176"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","Utrecht (PV)","2021","0.10","0.51","37","185"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","Utrecht (PV)","2022","0.12","0.58","43","213"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Bike","Value","Utrecht (PV)","2023","0.12","0.70","45","254"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","The Netherlands","2018","0.02","0.06","9","22"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","The Netherlands","2019","0.02","0.06","8","22"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","The Netherlands","2020","0.02","0.03","6","11"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","The Netherlands","2021","0.02","0.03","7","11"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","The Netherlands","2022","0.02","0.04","8","15"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","The Netherlands","2023","0.02","0.05","8","18"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","Utrecht (PV)","2018","0.02","0.06","9","23"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","Utrecht (PV)","2019",".",".",".","."
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","Utrecht (PV)","2020","0.01","0.03","5","11"
"Travel to/from work, (non)-daily commute","Population 6 years or older","Walking","Value","Utrecht (PV)","2021","0.01","0.03","5","12"
